,experiment_id,well,strain,_id,sample_id,experiment_reference,lab,replicate,replicate_group,replicate_group_string,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,container_id,aliquot_id,od,fluor_gain_0.16,fluor_gain_0.16/od,dead,ungrowing,doubling_time,n0
0,r1e6ge2n8x7q5p,a1,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e6w9fu3d6th3.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,4,0c15fd8829a4f66a7b4b2eabf9b6793c672b5f1d,"UWBF_24926 | 35.0 | [16.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],35.0,celsius,16.0,hour,ct1e6ge2nu6n6wr,aq1e6w9fu3d6th3,0.7913302284395373,46.5981863588044,58.88589,False,False,1.186869364412182,0.01608023516427521
1,r1e6ge2n8x7q5p,a1,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e6wjt2gja4k2.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,6650f79d216b846f13e247bdf24ecd3c8692b79c,"UWBF_24926 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [4e-06]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,4e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|4e-06|mM']",35.0,celsius,18.0,hour,ct1e6ge2nuekjty,aq1e6wjt2gja4k2,0.038652930549484835,4.912039813491167,127.08066000000001,False,False,1.186869364412182,0.01608023516427521
2,r1e6ge2n8x7q5p,a1,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e6wv8tbpgyur.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,006385a05e7f9ea1108bd86a039aa01e5c0d32d3,"UWBF_24926 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [4e-06]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,4e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|4e-06|mM']",35.0,celsius,20.0,hour,ct1e6ge2nuxgbne,aq1e6wv8tbpgyur,0.037965545386545146,4.925222406826777,129.72874,False,False,1.186869364412182,0.01608023516427521
3,r1e6ge2n8x7q5p,a1,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e6x6ntwftac5.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,c046084388514fbda3f144fa0e39890f0aee8097,"UWBF_24926 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [4e-06]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,4e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|4e-06|mM']",35.0,celsius,22.0,hour,ct1e6ge2nve8wbu,aq1e6x6ntwftac5,0.1682735391866922,8.719938603978157,51.82002,False,False,1.186869364412182,0.01608023516427521
4,r1e6ge2n8x7q5p,a1,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e6xg8aqta9dy.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,2b76063ef2bcd85090f53a2e61809baa98d67b1a,"UWBF_24926 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [4e-06]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,4e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|4e-06|mM']",35.0,celsius,24.0,hour,ct1e6ge2nvvzg29,aq1e6xg8aqta9dy,0.5347090241065684,32.77955016616736,61.30353,False,False,1.186869364412182,0.01608023516427521
5,r1e6ge2n8x7q5p,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e6w9fu3hqm27.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,0c15fd8829a4f66a7b4b2eabf9b6793c672b5f1d,"UWBF_24926 | 35.0 | [16.0] | {""Synthetic_Complete"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,,0.0,,['Synthetic_Complete|NA|NA'],35.0,celsius,16.0,hour,ct1e6ge2nu6n6wr,aq1e6w9fu3hqm27,0.9275373544212702,59.567264995670854,64.22088000000001,False,False,1.3087837639885946,0.022762297545125952
6,r1e6ge2n8x7q5p,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e6wjt2gptw48.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,5ff9281ad3e4aa564434bda75e2079313d099052,"UWBF_24926 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0001]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0001,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0001|mM']",35.0,celsius,18.0,hour,ct1e6ge2nuekjty,aq1e6wjt2gptw48,0.04119205715064229,4.347364476430965,105.5389,False,False,1.3087837639885946,0.022762297545125952
7,r1e6ge2n8x7q5p,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e6wv8tbu2scy.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,0f83e376b8c1bf32377151bdab4ab0470232ae73,"UWBF_24926 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0001]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0001,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0001|mM']",35.0,celsius,20.0,hour,ct1e6ge2nuxgbne,aq1e6wv8tbu2scy,0.03893236655479735,3.2044329344903053,82.30768,False,False,1.3087837639885946,0.022762297545125952
8,r1e6ge2n8x7q5p,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e6x6ntwmc3v9.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,494c19fb67aa320b88ec02e1e5041ab28a044d73,"UWBF_24926 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0001]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0001,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0001|mM']",35.0,celsius,22.0,hour,ct1e6ge2nve8wbu,aq1e6x6ntwmc3v9,0.20122167462147866,9.369101773297283,46.5611,False,False,1.3087837639885946,0.022762297545125952
9,r1e6ge2n8x7q5p,a10,UWBF_24926,5bfd9cf289f1041e26f37d6d,sample.transcriptic.aq1e6xg8aqxu2x7.experiment.transcriptic.r1e6ge2n8x7q5p,YeastSTATES-CRISPR-Short-Duration-Time-Series-35C,transcriptic,1,89f5f347c24ca5bfd0386c4a067120b87c087749,"UWBF_24926 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0001]} | PLATE_READER | NO_STANDARD_TYPE",CRISPR_CEN.PK2_24926,Experiment,,,Synthetic_Complete,beta-estradiol,0.0001,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0001|mM']",35.0,celsius,24.0,hour,ct1e6ge2nvvzg29,aq1e6xg8aqxu2x7,0.5444100978353723,25.925719667857948,47.62167,False,False,1.3087837639885946,0.022762297545125952
