,_id,sample_id,experiment_reference,experiment_id,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,aliquot_id,total_counts,TX_plate_name,TX_project_name,TX_sample_name,flow_volume,well,flow_rate_uL/min,date_of_experiment,cells/mL,cells/mL_doubling_time,cells/mL_n0
0,5ef261b0409240d41f988f88,sample.transcriptic.aq1dtzcmhmsp89x.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,r1dtsch56yk5pq,transcriptic,1,8da201efcd74dcdad220bc7c1340be1ba3c8e86b,"beads_spherotech_rainbow | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [1e-05]} | FLOW | BEAD_FLUORESCENCE",beads_spherotech_rainbow,Fluorescent_beads,Process,BEAD_FLUORESCENCE,,Synthetic_Complete,beta-estradiol,1e-05,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|1e-05|mM']",30.0,celsius,46.0,hour,aq1dtzcmhmsp89x,14933,TimeSeries-11-27-2019-Run2-LowBE,Sytox-YeastGates,SytoxYG-Plate,60000,h11,100,27-Nov-2019,248883.33333000002,,
1,5ef262f3c2e86d87d7603ca5,sample.transcriptic.aq1dtzcmhmsp89v.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,r1dtsch56yk5pq,transcriptic,1,a5a24452ee081008e07ae405798ebc1356a04b09,"beads_spherotech_pps_6K | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [6.3e-06]} | FLOW | BEAD_SIZE",beads_spherotech_pps_6K,Sizing_beads,Process,BEAD_SIZE,,Synthetic_Complete,beta-estradiol,6.3e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|6.3e-06|mM']",30.0,celsius,46.0,hour,aq1dtzcmhmsp89v,3975,TimeSeries-11-27-2019-Run2-LowBE,Sytox-YeastGates,SytoxYG-Plate,60000,h10,100,27-Nov-2019,66250.0,,
2,5ef262e8c2e86d87d7603c64,sample.transcriptic.aq1dtzcmhmjv2gq.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,r1dtsch56yk5pq,transcriptic,2,0e89350530254c6d97c725bd481c02f2a78e3eb4,"UWBF_25784 | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [6.3e-06]} | FLOW | NO_STANDARD_TYPE",UWBF_25784,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,Synthetic_Complete,beta-estradiol,6.3e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|6.3e-06|mM']",30.0,celsius,46.0,hour,aq1dtzcmhmjv2gq,60,TimeSeries-11-27-2019-Run2-LowBE,Sytox-YeastGates,SytoxYG-Plate,60000,g10,100,27-Nov-2019,1000.0,,
3,5ef26218fa36e1662b287b40,sample.transcriptic.aq1dtzcmhm9sffe.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,r1dtsch56yk5pq,transcriptic,2,0dae6cdd72881721d17f9ba68a7d1acdea68e2d9,"UWBF_24962 | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [1.6e-06]} | FLOW | NO_STANDARD_TYPE",UWBF_24962,CRISPR_CEN.PK2_24962,Experiment,,,Synthetic_Complete,beta-estradiol,1.6e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|1.6e-06|mM']",30.0,celsius,46.0,hour,aq1dtzcmhm9sffe,5303,TimeSeries-11-27-2019-Run2-LowBE,Sytox-YeastGates,SytoxYG-Plate,60000,f4,100,27-Nov-2019,88383.33333,,
4,5ef261e4982b037de4344c59,sample.transcriptic.aq1dtzcmhm58nxc.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,r1dtsch56yk5pq,transcriptic,2,bb63a72761aabc1f466d09a18224a02ab73035dd,"UWBF_24961 | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [4e-06]} | FLOW | NO_STANDARD_TYPE",UWBF_24961,CRISPR_CEN.PK2_24961,Experiment,,,Synthetic_Complete,beta-estradiol,4e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|4e-06|mM']",30.0,celsius,46.0,hour,aq1dtzcmhm58nxc,295,TimeSeries-11-27-2019-Run2-LowBE,Sytox-YeastGates,SytoxYG-Plate,60000,e8,100,27-Nov-2019,4916.6666700000005,,
5,5ef262f9c2e86d87d7603ccd,sample.transcriptic.aq1dtzcmhm7h37c.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,r1dtsch56yk5pq,transcriptic,2,583e920b4b3bc5b374c03d01427e9f528fccbb48,"UWBF_24961 | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [1e-05]} | FLOW | NO_STANDARD_TYPE",UWBF_24961,CRISPR_CEN.PK2_24961,Experiment,,,Synthetic_Complete,beta-estradiol,1e-05,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|1e-05|mM']",30.0,celsius,46.0,hour,aq1dtzcmhm7h37c,18,TimeSeries-11-27-2019-Run2-LowBE,Sytox-YeastGates,SytoxYG-Plate,60000,e12,100,27-Nov-2019,300.0,,
6,5ef261e6982b037de4344c64,sample.transcriptic.aq1dtzcmhm58nxe.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,r1dtsch56yk5pq,transcriptic,1,6e08c185a2b3ecfc97ccf4be8a0b54bf6a6c2d43,"UWBF_24961 | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [6.3e-06]} | FLOW | NO_STANDARD_TYPE",UWBF_24961,CRISPR_CEN.PK2_24961,Experiment,,,Synthetic_Complete,beta-estradiol,6.3e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|6.3e-06|mM']",30.0,celsius,46.0,hour,aq1dtzcmhm58nxe,119,TimeSeries-11-27-2019-Run2-LowBE,Sytox-YeastGates,SytoxYG-Plate,60000,e9,100,27-Nov-2019,1983.3333300000002,,
7,5ef262bf4258ef042f21fca4,sample.transcriptic.aq1dtzcmhmeb8yj.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,r1dtsch56yk5pq,transcriptic,1,4d02beea8e3ea5a87714f1733bc24b28527d6f70,"UWBF_25784 | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_25784,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,Synthetic_Complete,beta-estradiol,0.0,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|0.0|mM']",30.0,celsius,46.0,hour,aq1dtzcmhmeb8yj,78,TimeSeries-11-27-2019-Run2-LowBE,Sytox-YeastGates,SytoxYG-Plate,60000,g1,100,27-Nov-2019,1300.0,,
8,5ef2623f3bcd4bb20d0b03f9,sample.transcriptic.aq1dtzcmhm9sffg.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,r1dtsch56yk5pq,transcriptic,1,83b9bc6f17da2ea05668f78ac9012691a82946bd,"UWBF_24962 | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [2.5e-06]} | FLOW | NO_STANDARD_TYPE",UWBF_24962,CRISPR_CEN.PK2_24962,Experiment,,,Synthetic_Complete,beta-estradiol,2.5e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|2.5e-06|mM']",30.0,celsius,46.0,hour,aq1dtzcmhm9sffg,442,TimeSeries-11-27-2019-Run2-LowBE,Sytox-YeastGates,SytoxYG-Plate,60000,f5,100,27-Nov-2019,7366.6666700000005,,
9,5ef26219fa36e1662b287b4a,sample.transcriptic.aq1dtzcmhmjv2gs.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,r1dtsch56yk5pq,transcriptic,1,0674c69ce999665752cf3dd878f813c665d7b395,"UWBF_25784 | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [1e-05]} | FLOW | NO_STANDARD_TYPE",UWBF_25784,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,Synthetic_Complete,beta-estradiol,1e-05,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|1e-05|mM']",30.0,celsius,46.0,hour,aq1dtzcmhmjv2gs,4004,TimeSeries-11-27-2019-Run2-LowBE,Sytox-YeastGates,SytoxYG-Plate,60000,g11,100,27-Nov-2019,66733.33333,,
10,5ef261dd982b037de4344c2f,sample.transcriptic.aq1dtzcmhmfff4k.experiment.transcriptic.r1dtsch56yk5pq,YeastSTATES-CRISPR-Dose-Response,r1dtsch56yk5pq,transcriptic,1,9bb3dbd49fa99ab754d109b002f93e90dce39b11,"UWBF_25784 | 30.0 | [46.0] | {""Synthetic_Complete"": [""""], ""beta-estradiol"": [1.6e-06]} | FLOW | NO_STANDARD_TYPE",UWBF_25784,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,Synthetic_Complete,beta-estradiol,1.6e-06,mM,"['Synthetic_Complete|NA|NA', 'beta-estradiol|1.6e-06|mM']",30.0,celsius,46.0,hour,aq1dtzcmhmfff4k,356,TimeSeries-11-27-2019-Run2-LowBE,Sytox-YeastGates,SytoxYG-Plate,60000,g3,100,27-Nov-2019,5933.3333299999995,,
